# Parameter type          : 'brickwall'
# Order                   : 40
# Filter type        : 'bandpass'
# Sampling frequency : 100 Hz
# Cutoff 1           : 15 Hz
# Cutoff 2           : 35 Hz
# Feedforward parameters : 81 (multiplied with inputs x)
# Feedback parameters : 1 (multiplied with outputs y)
# Gain: 1
# Recurrence relation:
# y[n] = 
#     + (x[n-  0] * -3.32003709803934e-034)
#     + (x[n-  1] * -5.49706885668537e-019)
#     + (x[n-  2] * -0.000191134336026755)
#     + (x[n-  3] * -1.63980989920446e-021)
#     + (x[n-  4] * 0.000131113708612082)
#     + (x[n-  5] * -7.51584549678385e-020)
#     + (x[n-  6] * 0.000154425017644942)
#     + (x[n-  7] * 5.62357501887194e-020)
#     + (x[n-  8] * -0.00028334181873875)
#     + (x[n-  9] * 6.90607117480376e-019)
#     + (x[n- 10] * -1.18110326254182e-005)
#     + (x[n- 11] * 1.09894947644552e-019)
#     + (x[n- 12] * 0.000431206613713232)
#     + (x[n- 13] * -1.3357817176733e-018)
#     + (x[n- 14] * -0.000310887107121899)
#     + (x[n- 15] * 6.86261288209855e-019)
#     + (x[n- 16] * -0.000584127896703116)
#     + (x[n- 17] * 1.14770453720528e-018)
#     + (x[n- 18] * 0.00134857772276562)
#     + (x[n- 19] * 5.57637810341474e-018)
#     + (x[n- 20] * 0.00279485698526968)
#     + (x[n- 21] * 0.000437905142986627)
#     + (x[n- 22] * 0.0357209924296655)
#     + (x[n- 23] * 0.000186943102039784)
#     + (x[n- 24] * -0.0245665607625744)
#     + (x[n- 25] * -0.000685621997609093)
#     + (x[n- 26] * -0.0276520691046775)
#     + (x[n- 27] * 0.00024446405651372)
#     + (x[n- 28] * 0.0521152449180921)
#     + (x[n- 29] * 0.000756381610613256)
#     + (x[n- 30] * -3.54330978762457e-005)
#     + (x[n- 31] * -0.000924466412971808)
#     + (x[n- 32] * -0.0777970115040969)
#     + (x[n- 33] * -0.000454004676382475)
#     + (x[n- 34] * 0.0640493922133739)
#     + (x[n- 35] * 0.00205686599282726)
#     + (x[n- 36] * 0.0959414990475876)
#     + (x[n- 37] * -0.00105934424489257)
#     + (x[n- 38] * -0.310286129301076)
#     + (x[n- 39] * -0.00832019771674582)
#     + (x[n- 40] * 0.393584544896827)
#     + (x[n- 41] * -0.00832019771674582)
#     + (x[n- 42] * -0.310286129301076)
#     + (x[n- 43] * -0.00105934424489257)
#     + (x[n- 44] * 0.0959414990475876)
#     + (x[n- 45] * 0.00205686599282728)
#     + (x[n- 46] * 0.0640493922133739)
#     + (x[n- 47] * -0.000454004676382473)
#     + (x[n- 48] * -0.0777970115040969)
#     + (x[n- 49] * -0.000924466412971812)
#     + (x[n- 50] * -3.54330978762458e-005)
#     + (x[n- 51] * 0.000756381610613256)
#     + (x[n- 52] * 0.0521152449180921)
#     + (x[n- 53] * 0.000244464056513721)
#     + (x[n- 54] * -0.0276520691046775)
#     + (x[n- 55] * -0.000685621997609092)
#     + (x[n- 56] * -0.0245665607625744)
#     + (x[n- 57] * 0.000186943102039783)
#     + (x[n- 58] * 0.0357209924296655)
#     + (x[n- 59] * 0.000437905142986628)
#     + (x[n- 60] * 0.00279485698526968)
#     + (x[n- 61] * 5.73541446227587e-018)
#     + (x[n- 62] * 0.00134857772276562)
#     + (x[n- 63] * 1.15788327904336e-018)
#     + (x[n- 64] * -0.000584127896703116)
#     + (x[n- 65] * 6.89071343495372e-019)
#     + (x[n- 66] * -0.000310887107121899)
#     + (x[n- 67] * -1.34690800220678e-018)
#     + (x[n- 68] * 0.000431206613713232)
#     + (x[n- 69] * -2.59990065151377e-020)
#     + (x[n- 70] * -1.18110326254181e-005)
#     + (x[n- 71] * 7.45143950378442e-019)
#     + (x[n- 72] * -0.00028334181873875)
#     + (x[n- 73] * 4.34617888752647e-020)
#     + (x[n- 74] * 0.000154425017644942)
#     + (x[n- 75] * -1.48375284895378e-019)
#     + (x[n- 76] * 0.000131113708612082)
#     + (x[n- 77] * 1.09136761769701e-020)
#     + (x[n- 78] * -0.000191134336026755)
#     + (x[n- 79] * -5.49706885668537e-019)
#     + (x[n- 80] * -3.32003709803934e-034)
#
#cycle    input(impulse)    output(impulse)    input(step)    output(step)    frequency/sampling_frequency    gain    phase(degree)
-10        0                         0        0                         0        0     1.35799558326108e-016                         0
 -9        0                         0        0                         0    0.005       0.00616997712564082                      -108
 -8        0                         0        0                         0     0.01        0.0224523971009965                       -36
 -7        0                         0        0                         0    0.015        0.0428562379916319                        36
 -6        0                         0        0                         0     0.02        0.0595094354572454                       108
 -5        0                         0        0                         0    0.025        0.0661214442464959                      -180
 -4        0                         0        0                         0     0.03        0.0595217382003697                      -108
 -3        0                         0        0                         0    0.035         0.042110813231062         -35.9999999999999
 -2        0                         0        0                         0     0.04        0.0203804670604117          36.0000000000001
 -1        0                         0        0                         0    0.045       0.00268974424091713          108.000000000001
  0      100    -3.32003709803934e-032      100    -3.32003709803934e-032     0.05       0.00418206857821698    -4.84238544449865e-013
  1        0    -5.49706885668537e-017      100    -5.49706885668537e-017    0.055       0.00293785040696597         -107.999999999999
  2        0       -0.0191134336026755      100       -0.0191134336026756     0.06        0.0221527159850829                       -36
  3        0    -1.63980989920446e-019      100       -0.0191134336026756    0.065        0.0470220147399836          36.0000000000001
  4        0        0.0131113708612082      100      -0.00600206274146736     0.07        0.0680410189795978                       108
  5        0    -7.51584549678385e-018      100      -0.00600206274146737    0.075        0.0764136321414643                       180
  6        0        0.0154425017644942      100       0.00944043902302688     0.08        0.0673754505544004                      -108
  7        0     5.62357501887194e-018      100       0.00944043902302688    0.085        0.0432393250810311         -35.9999999999999
  8        0        -0.028334181873875      100       -0.0188937428508481     0.09        0.0118170622557204          36.0000000000006
  9        0     6.90607117480376e-017      100        -0.018893742850848    0.095        0.0149858452440196         -72.0000000000001
 10        0      -0.00118110326254182      100       -0.0200748461133898      0.1        0.0245668169607728    -2.57801313895324e-013
 11        0     1.09894947644552e-017      100       -0.0200748461133898    0.105        0.0137093556541968          71.9999999999996
 12        0        0.0431206613713232      100        0.0230458152579334     0.11        0.0210736380630159                       -36
 13        0     -1.3357817176733e-016      100        0.0230458152579332    0.115        0.0693807897385919          35.9999999999997
 14        0       -0.0310887107121899      100      -0.00804289545425669     0.12         0.113801462939023                       108
 15        0     6.86261288209855e-017      100      -0.00804289545425662    0.125         0.133572018727291                       180
 16        0       -0.0584127896703116      100       -0.0664556851245682     0.13         0.108560272801498                      -108
 17        0     1.14770453720528e-016      100       -0.0664556851245681    0.135        0.0278408924916151         -36.0000000000001
 18        0         0.134857772276562      100        0.0684020871519941     0.14         0.107674422159998                      -144
 19        0     5.57637810341474e-016      100        0.0684020871519947    0.145         0.286618596765856         -72.0000000000002
 20        0         0.279485698526968      100         0.347887785678963     0.15         0.488540277007167    -3.25516117212434e-014
 21        0        0.0437905142986627      100         0.391678299977625    0.155         0.690263392384349          72.0000000000001
 22        0          3.57209924296655      100          3.96377754294418     0.16         0.866836443570481                       144
 23        0        0.0186943102039784      100          3.98247185314816    0.165          1.00389424934213                      -144
 24        0         -2.45665607625744      100          1.52581577689072     0.17          1.08446430099205         -71.9999999999996
 25        0       -0.0685621997609093      100          1.45725357712981    0.175          1.10947567185324     -1.0606859275933e-013
 26        0         -2.76520691046775      100         -1.30795333333794     0.18          1.08770686003696          72.0000000000001
 27        0         0.024446405651372      100         -1.28350692768657    0.185          1.04492305991826                       144
 28        0          5.21152449180921      100          3.92801756412264     0.19         0.996142748027512                      -144
 29        0        0.0756381610613256      100          4.00365572518397    0.195          0.96087650493783         -72.0000000000002
 30        0      -0.00354330978762457      100          4.00011241539634      0.2          0.90210123937422    -1.03947872832429e-013
 31        0       -0.0924466412971808      100          3.90766577409916    0.205         0.959698377174188          71.9999999999994
 32        0         -7.77970115040969      100         -3.87203537631053     0.21         0.987587812820841                       144
 33        0       -0.0454004676382475      100         -3.91743584394877    0.215          1.02071227626278                      -144
 34        0          6.40493922133739      100          2.48750337738861     0.22          1.04460398247653         -72.0000000000003
 35        0         0.205686599282726      100          2.69318997667134    0.225          1.05632557230347    -1.11405542287069e-013
 36        0          9.59414990475876      100          12.2873398814301     0.23          1.04705527601287                        72
 37        0        -0.105934424489257      100          12.1814054569408    0.235          1.02345949207489                       144
 38        0         -31.0286129301076      100         -18.8472074731668     0.24         0.993183621047195                      -144
 39        0        -0.832019771674582      100         -19.6792272448413    0.245         0.972795957606033         -72.0000000000002
