# Parameter type          : 'brickwall'
# Order                   : 40
# Filter type        : 'bandstop'
# Sampling frequency : 100 Hz
# Cutoff 1           : 15 Hz
# Cutoff 2           : 35 Hz
# Feedforward parameters : 41 (multiplied with inputs x)
# Feedback parameters : 1 (multiplied with outputs y)
# Gain: 1
# Recurrence relation:
# y[n] = 
#     + (x[n-  0] * 1.54401353539219e-017)
#     + (x[n-  1] * -0.000323724918319279)
#     + (x[n-  2] * -0.0343130159130894)
#     + (x[n-  3] * -0.000138199200003488)
#     + (x[n-  4] * 0.0238574363521559)
#     + (x[n-  5] * 0.000506851606400738)
#     + (x[n-  6] * 0.027265641545321)
#     + (x[n-  7] * -0.000180722030774006)
#     + (x[n-  8] * -0.0514695238696341)
#     + (x[n-  9] * -0.000559161222551518)
#     + (x[n- 10] * -1.54401353539219e-017)
#     + (x[n- 11] * 0.000683419272007456)
#     + (x[n- 12] * 0.0772042858044511)
#     + (x[n- 13] * 0.000335626628580108)
#     + (x[n- 14] * -0.0636198302724157)
#     + (x[n- 15] * -0.00152055481920221)
#     + (x[n- 16] * -0.0954297454086236)
#     + (x[n- 17] * 0.000783128800020377)
#     + (x[n- 18] * 0.308817143217804)
#     + (x[n- 19] * 0.00615077344806658)
#     + (x[n- 20] * 0.603900341959611)
#     + (x[n- 21] * 0.00615077344806658)
#     + (x[n- 22] * 0.308817143217804)
#     + (x[n- 23] * 0.000783128800020377)
#     + (x[n- 24] * -0.0954297454086236)
#     + (x[n- 25] * -0.00152055481920221)
#     + (x[n- 26] * -0.0636198302724157)
#     + (x[n- 27] * 0.000335626628580108)
#     + (x[n- 28] * 0.0772042858044511)
#     + (x[n- 29] * 0.000683419272007456)
#     + (x[n- 30] * -1.54401353539219e-017)
#     + (x[n- 31] * -0.000559161222551518)
#     + (x[n- 32] * -0.0514695238696341)
#     + (x[n- 33] * -0.000180722030774006)
#     + (x[n- 34] * 0.027265641545321)
#     + (x[n- 35] * 0.000506851606400738)
#     + (x[n- 36] * 0.0238574363521559)
#     + (x[n- 37] * -0.000138199200003488)
#     + (x[n- 38] * -0.0343130159130894)
#     + (x[n- 39] * -0.000323724918319279)
#     + (x[n- 40] * 1.54401353539219e-017)
#
#cycle    input(impulse)    output(impulse)    input(step)    output(step)    frequency/sampling_frequency    gain    phase(degree)
-10        0                         0        0                         0        0                         1                         0
 -9        0                         0        0                         0    0.005          1.00459872697197                        36
 -8        0                         0        0                         0     0.01          1.01667368505421                        72
 -7        0                         0        0                         0    0.015          1.03168665546824                       108
 -6        0                         0        0                         0     0.02          1.04187806878262                       144
 -5        0                         0        0                         0    0.025          1.04866628843384                       180
 -4        0                         0        0                         0     0.03          1.04384110161918                      -144
 -3        0                         0        0                         0    0.035          1.03099712163811                      -108
 -2        0                         0        0                         0     0.04          1.01277932150929                       -72
 -1        0                         0        0                         0    0.045          1.00133972957142                       -36
  0      100     1.54401353539219e-015      100     1.54401353539219e-015     0.05         0.996075046138261    -2.23516118153565e-014
  1        0       -0.0323724918319279      100       -0.0323724918319264    0.055          1.00157399777121                        36
  2        0         -3.43130159130894      100         -3.46367408314087     0.06          1.01444449466477                        72
  3        0       -0.0138199200003488      100         -3.47749400314122    0.065          1.03558409099086                       108
  4        0          2.38574363521559      100         -1.09175036792563     0.07          1.05176087902031                       144
  5        0        0.0506851606400738      100         -1.04106520728555    0.075          1.05821827048033                       180
  6        0           2.7265641545321      100          1.68549894724655     0.08          1.04918492835677                      -144
  7        0       -0.0180722030774006      100          1.66742674416915    0.085          1.03200055767548                      -108
  8        0         -5.14695238696341      100         -3.47952564279426     0.09          1.00654799458358                       -72
  9        0       -0.0559161222551518      100         -3.53544176504941    0.095         0.984373343212444                       -36
 10        0    -1.54401353539219e-015      100         -3.53544176504941      0.1         0.927517315888452    -3.91352769819801e-014
 11        0        0.0683419272007456      100         -3.46709983784866    0.105         0.985618341235996          35.9999999999999
 12        0          7.72042858044511      100          4.25332874259645     0.11          1.01553165070863          71.9999999999999
 13        0        0.0335626628580108      100          4.28689140545446    0.115          1.05722099815029                       108
 14        0         -6.36198302724157      100         -2.07509162178711     0.12          1.09377283905681                       144
 15        0        -0.152055481920221      100         -2.22714710370734    0.125          1.11303038080404                       180
 16        0         -9.54297454086236      100         -11.7701216445697     0.13          1.09060480499347                      -144
 17        0        0.0783128800020377      100         -11.6918087645677    0.135          1.01646540790676                      -108
 18        0          30.8817143217804      100          19.1899055572128     0.14         0.886266972148385         -71.9999999999999
 19        0         0.615077344806658      100          19.8049829020194    0.145         0.713924047802925         -36.0000000000001
