# Parameter type          : 'brickwall'
# Order                   : 40
# Filter type        : 'highpass'
# Sampling frequency : 100 Hz
# Cutoff 1           : 25 Hz
# Feedforward parameters : 41 (multiplied with inputs x)
# Feedback parameters : 1 (multiplied with outputs y)
# Gain: 1
# Recurrence relation:
# y[n] = 
#     + (x[n-  0] * 1.98046376163098e-017)
#     + (x[n-  1] * 0.0170234189129157)
#     + (x[n-  2] * -1.98046376163098e-017)
#     + (x[n-  3] * -0.0190261740791411)
#     + (x[n-  4] * 1.98046376163098e-017)
#     + (x[n-  5] * 0.0215629972896933)
#     + (x[n-  6] * -1.98046376163098e-017)
#     + (x[n-  7] * -0.0248803814881076)
#     + (x[n-  8] * 1.98046376163098e-017)
#     + (x[n-  9] * 0.0294040872132181)
#     + (x[n- 10] * -1.98046376163098e-017)
#     + (x[n- 11] * -0.0359383288161555)
#     + (x[n- 12] * 1.98046376163098e-017)
#     + (x[n- 13] * 0.0462064227636284)
#     + (x[n- 14] * -1.98046376163098e-017)
#     + (x[n- 15] * -0.0646889918690798)
#     + (x[n- 16] * 1.98046376163098e-017)
#     + (x[n- 17] * 0.107814986448466)
#     + (x[n- 18] * -1.98046376163098e-017)
#     + (x[n- 19] * -0.323444959345399)
#     + (x[n- 20] * 0.491933845939922)
#     + (x[n- 21] * -0.323444959345399)
#     + (x[n- 22] * -1.98046376163098e-017)
#     + (x[n- 23] * 0.107814986448466)
#     + (x[n- 24] * 1.98046376163098e-017)
#     + (x[n- 25] * -0.0646889918690798)
#     + (x[n- 26] * -1.98046376163098e-017)
#     + (x[n- 27] * 0.0462064227636284)
#     + (x[n- 28] * 1.98046376163098e-017)
#     + (x[n- 29] * -0.0359383288161555)
#     + (x[n- 30] * -1.98046376163098e-017)
#     + (x[n- 31] * 0.0294040872132181)
#     + (x[n- 32] * 1.98046376163098e-017)
#     + (x[n- 33] * -0.0248803814881076)
#     + (x[n- 34] * -1.98046376163098e-017)
#     + (x[n- 35] * 0.0215629972896933)
#     + (x[n- 36] * 1.98046376163098e-017)
#     + (x[n- 37] * -0.0190261740791411)
#     + (x[n- 38] * -1.98046376163098e-017)
#     + (x[n- 39] * 0.0170234189129157)
#     + (x[n- 40] * 1.98046376163098e-017)
#
#cycle    input(impulse)    output(impulse)    input(step)    output(step)    frequency/sampling_frequency    gain    phase(degree)
-10        0                         0        0                         0        0    -5.12496359597002e-017                       180
 -9        0                         0        0                         0    0.005       0.00308937834895792                      -144
 -8        0                         0        0                         0     0.01        0.0111852782036588                      -108
 -7        0                         0        0                         0    0.015        0.0212115955296012                       -72
 -6        0                         0        0                         0     0.02        0.0292881983601841                       -36
 -5        0                         0        0                         0    0.025        0.0324637230904946     2.60239663488031e-014
 -4        0                         0        0                         0     0.03        0.0293254876839627                        36
 -3        0                         0        0                         0    0.035        0.0210653705637131                        72
 -2        0                         0        0                         0     0.04        0.0107646131057478                       108
 -1        0                         0        0                         0    0.045       0.00240501701085402                       144
  0      100     1.98046376163098e-015      100     1.98046376163098e-015     0.05      0.000821550383404833     6.72959161023421e-013
  1        0          1.70234189129157      100          1.70234189129158    0.055       0.00244894638614057                      -144
  2        0    -1.98046376163098e-015      100          1.70234189129157     0.06        0.0110755850025958                      -108
  3        0         -1.90261740791411      100        -0.200275516622538    0.065        0.0219165818970944                       -72
  4        0     1.98046376163098e-015      100        -0.200275516622536     0.07         0.030784437743984         -35.9999999999999
  5        0          2.15629972896933      100          1.95602421234679    0.075        0.0342153988862091    -6.97176151310474e-014
  6        0    -1.98046376163098e-015      100          1.95602421234679     0.08        0.0306502991639743          36.0000000000001
  7        0         -2.48803814881076      100        -0.532013936463973    0.085        0.0213948492321224                        72
  8        0     1.98046376163098e-015      100        -0.532013936463971     0.09       0.00967160465695012                       108
  9        0          2.94040872132181      100          2.40839478485784    0.095     3.89366460639092e-006          143.999999999684
 10        0    -1.98046376163098e-015      100          2.40839478485784      0.1       0.00357408995237585    -3.47130718546171e-013
 11        0         -3.59383288161555      100         -1.18543809675771    0.105      0.000119397544314655         -143.999999999997
 12        0     1.98046376163098e-015      100         -1.18543809675771     0.11        0.0104914546378774                      -108
 13        0          4.62064227636284      100          3.43520417960514    0.115          0.02363705950392                       -72
 14        0    -1.98046376163098e-015      100          3.43520417960514     0.12        0.0344907177254859                       -36
 15        0         -6.46889918690798      100         -3.03369500730285    0.125        0.0388391170559591    -7.16541867385586e-014
 16        0     1.98046376163098e-015      100         -3.03369500730284     0.13        0.0343769715837028          36.0000000000001
 17        0          10.7814986448466      100          7.74780363754379    0.135        0.0223445962723132          72.0000000000001
 18        0    -1.98046376163098e-015      100          7.74780363754379     0.14       0.00693855029124792                       108
