# Parameter type          : 'brickwall'
# Order                   : 40
# Filter type        : 'lowpass'
# Sampling frequency : 100 Hz
# Cutoff 1           : 25 Hz
# Feedforward parameters : 41 (multiplied with inputs x)
# Feedback parameters : 1 (multiplied with outputs y)
# Gain: 1
# Recurrence relation:
# y[n] = 
#     + (x[n-  0] * -1.98046376163098e-017)
#     + (x[n-  1] * -0.0170234189129157)
#     + (x[n-  2] * 1.98046376163098e-017)
#     + (x[n-  3] * 0.0190261740791411)
#     + (x[n-  4] * -1.98046376163098e-017)
#     + (x[n-  5] * -0.0215629972896933)
#     + (x[n-  6] * 1.98046376163098e-017)
#     + (x[n-  7] * 0.0248803814881076)
#     + (x[n-  8] * -1.98046376163098e-017)
#     + (x[n-  9] * -0.0294040872132181)
#     + (x[n- 10] * 1.98046376163098e-017)
#     + (x[n- 11] * 0.0359383288161555)
#     + (x[n- 12] * -1.98046376163098e-017)
#     + (x[n- 13] * -0.0462064227636284)
#     + (x[n- 14] * 1.98046376163098e-017)
#     + (x[n- 15] * 0.0646889918690798)
#     + (x[n- 16] * -1.98046376163098e-017)
#     + (x[n- 17] * -0.107814986448466)
#     + (x[n- 18] * 1.98046376163098e-017)
#     + (x[n- 19] * 0.323444959345399)
#     + (x[n- 20] * 0.508066154060078)
#     + (x[n- 21] * 0.323444959345399)
#     + (x[n- 22] * 1.98046376163098e-017)
#     + (x[n- 23] * -0.107814986448466)
#     + (x[n- 24] * -1.98046376163098e-017)
#     + (x[n- 25] * 0.0646889918690798)
#     + (x[n- 26] * 1.98046376163098e-017)
#     + (x[n- 27] * -0.0462064227636284)
#     + (x[n- 28] * -1.98046376163098e-017)
#     + (x[n- 29] * 0.0359383288161555)
#     + (x[n- 30] * 1.98046376163098e-017)
#     + (x[n- 31] * -0.0294040872132181)
#     + (x[n- 32] * -1.98046376163098e-017)
#     + (x[n- 33] * 0.0248803814881076)
#     + (x[n- 34] * 1.98046376163098e-017)
#     + (x[n- 35] * -0.0215629972896933)
#     + (x[n- 36] * -1.98046376163098e-017)
#     + (x[n- 37] * 0.0190261740791411)
#     + (x[n- 38] * 1.98046376163098e-017)
#     + (x[n- 39] * -0.0170234189129157)
#     + (x[n- 40] * -1.98046376163098e-017)
#
#cycle    input(impulse)    output(impulse)    input(step)    output(step)    frequency/sampling_frequency    gain    phase(degree)
-10        0                         0        0                         0        0                         1                         0
 -9        0                         0        0                         0    0.005          1.00308937834896                        36
 -8        0                         0        0                         0     0.01          1.01118527820366                        72
 -7        0                         0        0                         0    0.015           1.0212115955296                       108
 -6        0                         0        0                         0     0.02          1.02731492678846                       144
 -5        0                         0        0                         0    0.025          1.03246372309049                       180
 -4        0                         0        0                         0     0.03          1.02932548768396                      -144
 -3        0                         0        0                         0    0.035          1.02106537056371                      -108
 -2        0                         0        0                         0     0.04          1.00879134153402                       -72
 -1        0                         0        0                         0    0.045          1.00240501701085                       -36
  0      100    -1.98046376163098e-015      100    -1.98046376163098e-015     0.05         0.999178449616641    -2.22821887109227e-014
  1        0         -1.70234189129157      100         -1.70234189129158    0.055          1.00244894638614                        36
  2        0     1.98046376163098e-015      100         -1.70234189129157     0.06          1.00910231343087          71.9999999999999
  3        0          1.90261740791411      100         0.200275516622538    0.065          1.02191658189709                       108
  4        0    -1.98046376163098e-015      100         0.200275516622536     0.07          1.03078443774398                       144
  5        0         -2.15629972896933      100         -1.95602421234679    0.075          1.03421539888621                       180
  6        0     1.98046376163098e-015      100         -1.95602421234679     0.08          1.02867702759225                      -144
  7        0          2.48803814881076      100         0.532013936463973    0.085          1.02139484923212                      -108
  8        0    -1.98046376163098e-015      100         0.532013936463971     0.09          1.00967160465695                       -72
  9        0         -2.94040872132181      100         -2.40839478485784    0.095          1.00000389366461                       -36
 10        0     1.98046376163098e-015      100         -2.40839478485784      0.1         0.947482426343084     9.57765707670531e-015
 11        0          3.59383288161555      100          1.18543809675771    0.105          1.00011939754431          35.9999999999998
 12        0    -1.98046376163098e-015      100          1.18543809675771     0.11          1.01049145463788          71.9999999999999
 13        0         -4.62064227636284      100         -3.43520417960514    0.115          1.02363705950392                       108
 14        0     1.98046376163098e-015      100         -3.43520417960514     0.12          1.03251744615376                       144
 15        0          6.46889918690798      100          3.03369500730285    0.125          1.03883911705596                       180
 16        0    -1.98046376163098e-015      100          3.03369500730284     0.13           1.0343769715837                      -144
 17        0         -10.7814986448466      100         -7.74780363754379    0.135          1.02234459627231                      -108
 18        0     1.98046376163098e-015      100         -7.74780363754379     0.14           1.0049652787196         -71.9999999999999
 19        0          32.3444959345399      100          24.5966922969961    0.145         0.994036758551294         -36.0000000000001
