# Parameter type          : 'butterworth'
# Order                   : 4
# Filter type        : 'bandpass'
# Sampling frequency : 100 Hz
# Cutoff 1           : 15 Hz
# Cutoff 2           : 35 Hz
# Feedforward parameters : 9 (multiplied with inputs x)
# Feedback parameters : 9 (multiplied with outputs y)
# Gain: 1
# Recurrence relation:
# y[n] = 
#     + (x[n-  0] * 0.0465829066364437)
#     + (x[n-  1] * 0)
#     + (x[n-  2] * -0.186331626545775)
#     + (x[n-  3] * 0)
#     + (x[n-  4] * 0.279497439818662)
#     + (x[n-  5] * 0)
#     + (x[n-  6] * -0.186331626545775)
#     + (x[n-  7] * 0)
#     + (x[n-  8] * 0.0465829066364437)
#
#     - (y[n-  1] * 0)
#     - (y[n-  2] * 0.782095198023338)
#     - (y[n-  3] * 1.11022302462516e-016)
#     - (y[n-  4] * 0.679978526916299)
#     - (y[n-  5] * -8.32667268468867e-017)
#     - (y[n-  6] * 0.182675697753032)
#     - (y[n-  7] * 2.08166817117217e-017)
#     - (y[n-  8] * 0.0301188750431692)
#cycle    input(impulse)    output(impulse)    input(step)    output(step)    frequency/sampling_frequency    gain    phase(degree)
-10        0                         0        0                         0        0     1.32818265550036e-017                         0
 -9        0                         0        0                         0    0.005     2.71777264828394e-007         -3.41875567347167
 -8        0                         0        0                         0     0.01     4.36559535749226e-006          -6.8457548878547
 -7        0                         0        0                         0    0.015      2.2246704574462e-005         -10.2893337094227
 -6        0                         0        0                         0     0.02     7.08732856126193e-005         -13.7580160871843
 -5        0                         0        0                         0    0.025      0.000175330733854821         -17.2606150425628
 -4        0                         0        0                         0     0.03      0.000368938147896872         -20.8063430426745
 -3        0                         0        0                         0    0.035      0.000695533707717281         -24.4049354715388
 -2        0                         0        0                         0     0.04       0.00120846840026177         -28.0667919367356
 -1        0                         0        0                         0    0.045       0.00198501998773523          -31.803141302502
  0      100          4.65829066364437      100          4.65829066364437     0.05       0.00310553896023363         -35.6262379220006
  1        0                         0      100          4.65829066364437    0.055       0.00468118856736411         -39.5495986839922
  2        0         -22.2763894136107      100         -17.6180987499663     0.06       0.00683622297335213         -43.5882933655712
  3        0    -5.17174155017438e-016      100         -17.6180987499663    0.065       0.00976965869338968         -47.7593046083184
  4        0          42.2044635481362      100          24.5863647981699     0.07        0.0136550190022815         -52.0819788565283
  5        0     3.26553608269466e-015      100          24.5863647981699    0.075         0.018758199077511         -56.5785960433853
  6        0         -37.3445609695626      100         -12.7581961713927     0.08        0.0253453898075024         -61.2750937702946
  7        0    -8.83978167297266e-015      100         -12.7581961713927    0.085        0.0340644976314981         -66.2019908258757
  8        0          9.09621602261129      100         -3.66198014878147     0.09        0.0451471134422012         -71.3955635964578
  9        0     1.29115587219157e-014      100         -3.66198014878145    0.095        0.0593298835258637         -76.8993329638058
 10        0          11.2406026471652      100          7.57862249838376      0.1        0.0767913749248807          -82.765908369744
