# Parameter type          : 'butterworth'
# Order                   : 4
# Filter type        : 'bandstop'
# Sampling frequency : 100 Hz
# Cutoff 1           : 15 Hz
# Cutoff 2           : 35 Hz
# Feedforward parameters : 9 (multiplied with inputs x)
# Feedback parameters : 9 (multiplied with outputs y)
# Gain: 1
# Recurrence relation:
# y[n] = 
#     + (x[n-  0] * 0.16717926860849)
#     + (x[n-  1] * 0)
#     + (x[n-  2] * 0.66871707443396)
#     + (x[n-  3] * 0)
#     + (x[n-  4] * 1.00307561165094)
#     + (x[n-  5] * 0)
#     + (x[n-  6] * 0.66871707443396)
#     + (x[n-  7] * -0)
#     + (x[n-  8] * 0.16717926860849)
#
#     - (y[n-  1] * 5.55111512312578e-017)
#     - (y[n-  2] * 0.782095198023338)
#     - (y[n-  3] * 5.55111512312578e-017)
#     - (y[n-  4] * 0.6799785269163)
#     - (y[n-  5] * 1.38777878078145e-017)
#     - (y[n-  6] * 0.182675697753032)
#     - (y[n-  7] * -3.46944695195361e-018)
#     - (y[n-  8] * 0.0301188750431693)
#cycle    input(impulse)    output(impulse)    input(step)    output(step)    frequency/sampling_frequency    gain    phase(degree)
-10        0                         0        0                         0        0                         1                         0
 -9        0                         0        0                         0    0.005         0.999994996738272         -3.41875567347067
 -8        0                         0        0                         0     0.01         0.999980886892358         -6.84575488785251
 -7        0                         0        0                         0    0.015         0.999960280940925         -10.2893337094232
 -6        0                         0        0                         0     0.02         0.998667613702502         -13.7580160871852
 -5        0                         0        0                         0    0.025         0.999916720117663         -17.2606150425622
 -4        0                         0        0                         0     0.03          0.99990399552852         -20.8063430426744
 -3        0                         0        0                         0    0.035         0.999903481098169         -24.4049354715395
 -2        0                         0        0                         0     0.04         0.997944279155298         -28.0667919367355
 -1        0                         0        0                         0    0.045         0.999943771728486          -31.803141302502
  0      100           16.717926860849      100           16.717926860849     0.05         0.999973900539181         -35.6262379220005
  1        0    -9.28031366245696e-016      100           16.717926860849    0.055         0.999988656263897         -39.5495986839922
  2        0          53.7966971246206      100          70.5146239854696     0.06         0.998405933923907         -43.5882933655711
  3        0    -3.18853908091689e-015      100          70.5146239854696    0.065         0.999844625503756         -47.7593046083184
  4        0          46.8655913944777      100          117.380215379947     0.07         0.999475867240081         -52.0819788565283
  5        0    -2.69510485758289e-015      100          117.380215379947    0.075         0.998811317447831         -56.5785960433853
  6        0         -9.41620435680053      100          107.964011023147     0.08          0.99581613645703         -61.2750937702946
  7        0      1.6780596774747e-015      100          107.964011023147    0.085         0.999395495254617         -66.2019908258757
  8        0         -18.1161750617204      100          89.8478359614264     0.09         0.998924647970594         -71.3955635964578
  9        0      2.1952390090318e-015      100          89.8478359614264    0.095         0.998200184924555         -76.8993329638057
 10        0          10.3898896829754      100          100.237725644402      0.1         0.989063369635211         -82.7659083697439
 11        0    -1.54739629917009e-015      100          100.237725644402    0.105         0.994838989046781         -89.0591867827573
 12        0          4.50130001280838      100           104.73902565721     0.11         0.991318606128401         -95.8567685770645
 13        0    -1.11575503991567e-015      100           104.73902565721    0.115         0.986062420462725         -103.252133418215
 14        0         -6.99235660391299      100          97.7466690532972     0.12         0.973719419899765         -111.355445516889
 15        0     1.40450445394194e-015      100          97.7466690532972    0.125         0.931732034459994         -120.290584504389
 16        0          1.05555963639894      100          98.8022286896961     0.13         0.941342709187712         -130.183979413995
 17        0     1.79924367606956e-016      100          98.8022286896961    0.135         0.907989119833874         -141.138707844384
 18        0          2.79389431063799      100          101.596123000334     0.14          0.85907690017886         -153.188182419844
 19        0    -9.46355844713375e-016      100          101.596123000334    0.145         0.792400172052893         -166.234339772737
 20        0         -1.76108968182531      100          99.8350333185087     0.15         0.707106781187031                      -180
 21        0     2.98591493933625e-016      100          99.8350333185087    0.155          0.60785603329855          165.953918142765
 22        0        -0.504671532552002      100          99.3303617859568     0.16         0.502027532406589          152.122514042274
 23        0     4.25468925297335e-016      100          99.3303617859568    0.165         0.401974368556543          138.915427581346
 24        0          1.05003548836974      100          100.380397274326     0.17         0.311490776059951           126.56999896578
 25        0    -3.64476396879867e-016      100          100.380397274326    0.175         0.234988193206383          115.153391449908
 26        0        -0.240502575119582      100          100.139894699207     0.18         0.173303245985756          104.617495170406
 27        0    -7.43411161053354e-017      100          100.139894699207    0.185         0.124860992137091          94.8583031488513
 28        0        -0.380672411066478      100          99.7592222881404     0.19        0.0878437857266209          85.7568496412574
 29        0     2.37420918462776e-016      100          99.7592222881404    0.195        0.0601841502711935          77.2006024450255
 30        0         0.284642824787839      100          100.043865112928      0.2        0.0379629076449826          69.0917872483478
 31        0    -6.90576638867504e-017      100          100.043865112928    0.205        0.0255598089776937           61.348799084415
 32        0        0.0485393669525617      100          100.092404479881     0.21        0.0155950675453066          53.9046065852697
 33        0    -9.69203717871847e-017      100          100.092404479881    0.215       0.00895888041533294          46.7041959093966
 34        0        -0.154730149190735      100          99.9376743306901     0.22       0.00475227256620495          39.7019857469692
 35        0      8.2250561885079e-017      100          99.9376743306901    0.225       0.00225502883473049          32.8595689040371
 36        0        0.0474760775864367      100          99.9851504082766     0.23      0.000913932584140655          26.1438674292576
 37        0     1.33080392458367e-017      100          99.9851504082766    0.235      0.000286542876558127          19.5256754124894
 38        0        0.0506422822166505      100          100.035792690493     0.24     5.61011748240839e-005          12.9785236772969
 39        0    -4.96827799787718e-017      100          100.035792690493    0.245     3.50019687713944e-006          6.47779223919395
 40        0       -0.0450863122006446      100          99.9907063782926     0.25     7.61340315038142e-013                         0
 41        0     1.61973272404072e-017      100          99.9907063782926    0.255     3.50019687819601e-006         -6.47779223909922
 42        0      -0.00318630376344508      100          99.9875200745291     0.26     5.61887598786455e-005         -12.9785236772968
 43        0     1.83486033080095e-017      100          99.9875200745291    0.265      0.000286542876552688         -19.5256754124941
 44        0        0.0224686767390185      100          100.009988751268     0.27      0.000913932584269001         -26.1438674292567
 45        0    -1.69581636636358e-017      100          100.009988751268    0.275       0.00225502883478434         -32.8595689040365
 46        0      -0.00869514107377018      100          100.001293610194     0.28       0.00473406611859078         -39.7019857469692
 47        0    -1.55301703534789e-018      100          100.001293610194    0.285       0.00895888041545503         -46.7041959093968
 48        0      -0.00653778036425619      100          99.9947558298301     0.29         0.015595067545461         -53.9046065852696
 49        0     9.42883189138081e-018      100          99.9947558298301    0.295         0.025559808977793         -61.3487990844147
 50        0       0.00701716253130095      100          100.001772992361      0.3        0.0385895391705074         -69.0917872483477
 51        0    -3.60100867079727e-018      100          100.001772992361    0.305        0.0601841502713834         -77.2006024450253
 52        0     -0.000130879162466373      100          100.001642113199     0.31        0.0878437857271927         -85.7568496412573
 53        0    -3.12231526724504e-018      100          100.001642113199    0.315         0.124860992137606         -94.8583031488514
 54        0      -0.00321297841939982      100          99.9984291347795     0.32         0.172661198135221         -104.617495170406
 55        0     3.28046923902549e-018      100          99.9984291347795    0.325         0.234988193206575         -115.153391449908
 56        0       0.00151689554146202      100           99.999946030321     0.33         0.311490776059966          -126.56999896578
 57        0     5.16125584362221e-020      100           99.999946030321    0.335          0.40197436855733         -138.915427581346
 58        0      0.000810959014643908      100          100.000756989336     0.34         0.502536121829587         -152.122514042274
 59        0    -1.67727205650755e-018      100          100.000756989336    0.345         0.607856033299302         -165.953918142765
 60        0      -0.00107482853914661      100          99.9996821607965     0.35          0.70710678118779                      -180
 61        0     7.53918894345714e-019      100          99.9996821607965    0.355         0.792400172052665          166.234339772737
 62        0      0.000108854867073207      100          99.9997910156636     0.36         0.857204733877361          153.188182419844
 63        0     4.90271014119279e-019      100          99.9997910156636    0.365         0.907989119834471          141.138707844384
 64        0      0.000451895766801061      100           100.00024291143     0.37          0.94134270918802          130.183979413995
 65        0    -6.04643025580746e-019      100           100.00024291143    0.375         0.931732034460825          120.290584504389
 66        0     -0.000255524601256006      100          99.9999873868291     0.38         0.977311203732607          111.355445516889
 67        0     3.61690174498334e-020      100          99.9999873868291    0.385         0.986062420463101          103.252133418215
 68        0    -9.49473665429698e-005      100          99.9998924394626     0.39         0.991318606128865          95.8567685770645
 69        0     2.84150325446727e-019      100          99.9998924394626    0.395         0.994838989047178          89.0591867827574
