# Parameter type          : 'chebyshev'
# Order                   : 4
# Filter type        : 'bandpass'
# Sampling frequency : 100 Hz
# Cutoff 1           : 15 Hz
# Cutoff 2           : 35 Hz
# Ripple             : -3 dB
# Feedforward parameters : 9 (multiplied with inputs x)
# Feedback parameters : 9 (multiplied with outputs y)
# Gain: 1
# Recurrence relation:
# y[n] = 
#     + (x[n-  0] * 0.021974468495916)
#     + (x[n-  1] * 0)
#     + (x[n-  2] * -0.0878978739836639)
#     + (x[n-  3] * 0)
#     + (x[n-  4] * 0.131846810975496)
#     + (x[n-  5] * 0)
#     + (x[n-  6] * -0.0878978739836639)
#     + (x[n-  7] * 0)
#     + (x[n-  8] * 0.021974468495916)
#
#     - (y[n-  1] * 3.33066907387547e-016)
#     - (y[n-  2] * 1.93266994627236)
#     - (y[n-  3] * 4.44089209850063e-016)
#     - (y[n-  4] * 2.25539633762681)
#     - (y[n-  5] * 6.66133814775094e-016)
#     - (y[n-  6] * 1.45623417849859)
#     - (y[n-  7] * 3.33066907387547e-016)
#     - (y[n-  8] * 0.485099283078791)
#cycle    input(impulse)    output(impulse)    input(step)    output(step)    frequency/sampling_frequency    gain    phase(degree)
-10        0                         0        0                         0        0    -1.86869537003516e-018                         0
 -9        0                         0        0                         0    0.005     4.81221170958359e-008        -0.760969815952465
 -8        0                         0        0                         0     0.01     7.74011564843228e-007         -1.52430647667354
 -7        0                         0        0                         0    0.015     3.95603587102507e-006         -2.29241192990067
 -6        0                         0        0                         0     0.02     1.26664324410079e-005         -3.06775959386364
 -5        0                         0        0                         0    0.025     3.13785135759251e-005         -3.85293334474837
 -4        0                         0        0                         0     0.03     6.65681418621503e-005         -4.65067065574406
 -3        0                         0        0                         0    0.035      0.000126435848267207         -5.46391172063486
 -2        0                         0        0                         0     0.04      0.000221550320152807         -6.29585684337078
 -1        0                         0        0                         0    0.045      0.000367630728397877         -7.15003503233078
  0      100           2.1974468495916      100           2.1974468495916     0.05      0.000576148289548595          -8.0303876900278
  1        0    -7.31896826341982e-016      100           2.1974468495916    0.055      0.000888809997170837          -8.9413726721738
  2        0         -13.0367268831029      100         -10.8392800335114     0.06       0.00131977869306371         -9.88809601913165
  3        0     4.78075487033182e-015      100         -10.8392800335113    0.065       0.00191646832758788         -10.8764816820864
  4        0          33.4242577655851      100          22.5849777320737     0.07        0.0027322615308036         -11.9134941384016
  5        0    -1.43957419145764e-014      100          22.5849777320737    0.075       0.00383190457622472         -13.0074358573793
  6        0         -47.1848569993911      100         -24.5998792673173     0.08       0.00532889067882913         -14.1683527563929
  7        0     2.69302038604588e-014      100         -24.5998792673173    0.085       0.00735928846294041         -15.4085989377414
  8        0          35.9238007106637      100          11.3239214433464     0.09        0.0100836741973343         -16.7436423399276
  9        0    -3.51196174405583e-014      100          11.3239214433464    0.095        0.0137749286520367         -18.1932453558852
 10        0         -5.35773600601056      100          5.96618543733581      0.1         0.018785595648019         -19.7832484381059
 11        0       3.191080355083e-014      100          5.96618543733584    0.105        0.0256835507103974         -21.5483603807562
 12        0         -18.1695552070328      100          -12.203369769697     0.11        0.0352356950940976         -23.5367035202024
 13        0    -1.44810673445825e-014      100          -12.203369769697    0.115        0.0487477769013446         -25.8175762843215
 14        0          17.7754453378357      100          5.57207556813871     0.12        0.0680721925028119         -28.4954740332937
 15        0    -1.21533904165447e-014      100           5.5720755681387    0.125        0.0944579092311459         -31.7371697609958
 16        0         -2.99901239467541      100           2.5730631734633     0.13         0.141414458446928         -35.8284359443497
 17        0     3.37087650992597e-014      100          2.57306317346334    0.135         0.213195516846898         -41.3050936228087
 18        0         -5.23641199491341      100         -2.66334882145009     0.14         0.337053006408821          -49.292366348886
 19        0    -3.48425307718952e-014      100         -2.66334882145013    0.145         0.569488778279334         -62.4762850814251
 20        0         -0.18695517388009      100         -2.85030399533021     0.15          0.99901102981881         -87.4516150740153
 21        0     1.45004582281694e-014      100         -2.85030399533019    0.155          1.40173061588897         -129.547730669675
 22        0          7.91591564256787      100          5.06561164723767     0.16          1.28762744955714         -165.637674765612
 23        0      9.3003797119934e-015      100          5.06561164723769    0.165           1.1101727415608          174.307923196413
 24        0         -5.79693336285426      100        -0.731321715616576     0.17          1.02120945316643          161.735471406211
 25        0    -1.60080516910428e-014      100        -0.731321715616598    0.175          1.00009133013587           151.92681055241
 26        0         -3.83753803958937      100         -4.56885975520596     0.18          1.02525303458383          142.852447935948
 27        0     4.38998386368427e-015      100         -4.56885975520596    0.185             1.08730668445          133.435095557106
 28        0          9.05434162083762      100          4.48548186563167     0.19          1.17417674386002          122.965049945665
 29        0     6.95593004460933e-015      100          4.48548186563168    0.195          1.27291975666358          110.986329453399
 30        0         -4.24219720353709      100         0.243284662094578      0.2          1.27194148196786          97.4360055457828
 31        0    -2.66572539280982e-015      100         0.243284662094579    0.205          1.40863477649025          82.8620360854376
 32        0         -3.82191961690776      100         -3.57863495481318     0.21          1.40156462148971          68.3564456700668
 33        0     -1.0760139188346e-014      100          -3.5786349548132    0.215            1.347651662474           55.018853734187
 34        0          5.63069043674097      100          2.05205548192777     0.22          1.26856539039667           43.430494952835
 35        0     1.41810698725784e-014      100           2.0520554819278    0.225          1.19066432157001          33.6118383815481
 36        0        -0.476944746471548      100          1.57511073545624     0.23          1.12264169985086          25.2794489415353
 37        0    -1.01417423923129e-015      100          1.57511073545624    0.235          1.06841691367055          18.0699624279679
 38        0         -4.15416501606782      100         -2.57905428061158     0.24          1.02690029049084          11.6427596040217
 39        0    -1.39438624964636e-014      100          -2.5790542806116    0.245           1.0074652921678          5.70432309081737
