# Parameter type          : 'chebyshev'
# Order                   : 4
# Filter type        : 'bandstop'
# Sampling frequency : 100 Hz
# Cutoff 1           : 15 Hz
# Cutoff 2           : 35 Hz
# Ripple             : -3 dB
# Feedforward parameters : 9 (multiplied with inputs x)
# Feedback parameters : 9 (multiplied with outputs y)
# Gain: 1
# Recurrence relation:
# y[n] = 
#     + (x[n-  0] * 0.111320340229996)
#     + (x[n-  1] * 0)
#     + (x[n-  2] * 0.445281360919985)
#     + (x[n-  3] * 0)
#     + (x[n-  4] * 0.667922041379978)
#     + (x[n-  5] * 0)
#     + (x[n-  6] * 0.445281360919985)
#     + (x[n-  7] * -0)
#     + (x[n-  8] * 0.111320340229996)
#
#     - (y[n-  1] * -2.22044604925031e-016)
#     - (y[n-  2] * -0.166390111629443)
#     - (y[n-  3] * -1.11022302462516e-016)
#     - (y[n-  4] * 0.943144111432434)
#     - (y[n-  5] * 7.7715611723761e-016)
#     - (y[n-  6] * -0.345109886617355)
#     - (y[n-  7] * 0)
#     - (y[n-  8] * 0.349481330494305)
#cycle    input(impulse)    output(impulse)    input(step)    output(step)    frequency/sampling_frequency    gain    phase(degree)
-10        0                         0        0                         0        0                         1                         0
 -9        0                         0        0                         0    0.005          1.00202594929135         -2.99720882631612
 -8        0                         0        0                         0     0.01          1.00814530028391         -6.03268560233619
 -7        0                         0        0                         0    0.015          1.01890114426794          -9.1460675792983
 -6        0                         0        0                         0     0.02          1.03347282562725         -12.3797739244394
 -5        0                         0        0                         0    0.025          1.05261952771596         -15.7804918708603
 -4        0                         0        0                         0     0.03          1.07739736702115         -19.4007329820678
 -3        0                         0        0                         0    0.035          1.10694294212975         -23.3003845208302
 -2        0                         0        0                         0     0.04          1.13860215583414         -27.5480393801502
 -1        0                         0        0                         0    0.045          1.18006104237396          -32.221625296395
  0      100          11.1320340229996      100          11.1320340229996     0.05          1.22276721581592         -37.4074041726997
  1        0     2.47180809664896e-015      100          11.1320340229996    0.055          1.26898064897055         -43.1957363816575
  2        0          46.3803964757482      100          57.5124304987478     0.06          1.31351353454236         -49.6712323739701
  3        0     1.19457052851763e-014      100          57.5124304987479    0.065          1.35773392364672         -56.8946635519146
  4        0          64.0103311479578      100          121.522761646706     0.07          1.39167353873188         -64.8757901242656
