# Parameter type          : 'chebyshev'
# Order                   : 4
# Filter type        : 'highpass'
# Sampling frequency : 100 Hz
# Cutoff 1           : 25 Hz
# Ripple             : -3 dB
# Feedforward parameters : 5 (multiplied with inputs x)
# Feedback parameters : 5 (multiplied with outputs y)
# Gain: 1
# Recurrence relation:
# y[n] = 
#     + (x[n-  0] * 0.0531101207092932)
#     + (x[n-  1] * -0.212440482837173)
#     + (x[n-  2] * 0.318660724255759)
#     + (x[n-  3] * -0.212440482837173)
#     + (x[n-  4] * 0.0531101207092932)
#
#     - (y[n-  1] * 1.09399195818562)
#     - (y[n-  2] * 1.41748060638455)
#     - (y[n-  3] * 0.881761572651391)
#     - (y[n-  4] * 0.408034855801154)
#cycle    input(impulse)    output(impulse)    input(step)    output(step)    frequency/sampling_frequency    gain    phase(degree)
-10        0                         0        0                         0        0    -1.84988264767261e-018                       180
 -9        0                         0        0                         0    0.005     1.07808435295825e-008        -0.523511490502418
 -8        0                         0        0                         0     0.01     1.72770210925494e-007         -1.04756124886819
 -7        0                         0        0                         0    0.015     8.77315016072539e-007         -1.57269035250477
 -6        0                         0        0                         0     0.02     2.78305316165324e-006          -2.0994455480035
 -5        0                         0        0                         0    0.025     6.82522515179263e-006         -2.62838217085904
 -4        0                         0        0                         0     0.03     1.42580757372677e-005         -3.16006718645781
 -3        0                         0        0                         0    0.035     2.66164916883656e-005         -3.69508238535837
 -2        0                         0        0                         0     0.04     4.56553309916077e-005         -4.23402778164049
 -1        0                         0        0                         0    0.045     7.41065870611867e-005         -4.77752526542129
  0      100          5.31101207092932      100          5.31101207092932     0.05      0.000113739305735641         -5.32622256807277
  1        0         -27.0542527791407      100         -21.7432407082114    0.055       0.00016934333200624         -5.88079760723963
  2        0          53.9349507898603      100          32.1917100816489     0.06      0.000242874384921217            -6.44196328933
  3        0         -46.5826184343375      100         -14.3909083526886    0.065      0.000340022677776146         -7.01047286088037
  4        0          1.50859771131543      100         -12.8823106413732     0.07      0.000464905396262996          -7.5871259168605
  5        0          27.8608755631705      100          14.9785649217973    0.075      0.000623593654626421         -8.17277519508063
  6        0         -13.5505587920464      100          1.42800612975092     0.08      0.000821051986826529         -8.76833431216959
  7        0         -6.99093993499987      100         -5.56293380524896    0.085       0.00107066658845416         -9.37478662966007
  8        0          1.67347646082349      100         -3.88945734442547     0.09       0.00137568149726971         -9.99319548047123
  9        0          8.65890567577553      100          4.76944833135007    0.095       0.00174885645018207         -10.6247160390512
 10        0         -0.15145111030999      100          4.61799722104008      0.1       0.00218686293021834         -11.2706091860309
 11        0         -10.7312046387861      100         -6.11320741774602    0.105       0.00274935613650637         -11.9322578050688
 12        0          3.63660357566541      100         -2.47660384208062     0.11       0.00340633737264466         -12.6111860618501
 13        0          7.83326783213204      100          5.35666399005143    0.115       0.00419652393708013         -13.3090823615012
 14        0         -4.20018584558478      100          1.15647814446665     0.12       0.00512867786950386         -14.0278268728142
 15        0         -5.33644744933692      100         -4.17996930487028    0.125       0.00605429081891215         -14.7695247621473
 16        0          3.40077699591917      100         -0.77919230895111     0.13       0.00759391991569477         -15.5365466199394
 17        0          4.35120424760228      100          3.57201193865118    0.135       0.00917949026277442         -16.3315780216322
 18        0         -3.16142137251408      100         0.410590566137103     0.14        0.0110574291497127         -17.1576807902464
 19        0         -3.53039598410549      100          -3.1198054179684    0.145        0.0132869000879964         -18.0183693897113
 20        0          3.11911804853558      100     -0.000687369432815277     0.15        0.0159276035705319         -18.9177070794793
 21        0          2.60415466210784      100          2.60346729267503    0.155         0.019066060735798         -19.8604281566039
 22        0         -2.86727597215329      100         -0.26380867947826     0.16        0.0227459620842224         -20.8520950364579
 23        0         -1.86435569359583      100         -2.12816437307409    0.165        0.0272285949473912         -21.8993024407696
 24        0          2.53494582622245      100         0.406781453148356     0.17        0.0325118472478927         -23.0099461418225
 25        0           1.3351455891455      100          1.74192704229385    0.175        0.0388086511159345         -24.1935814654795
 26        0         -2.24000933823163      100        -0.498082295937781     0.18        0.0464616082562905         -25.4619085660888
 27        0        -0.916486488745062      100         -1.41456878468284    0.185        0.0556384453826288          -26.829439814979
 28        0          1.96617231446659      100         0.551603529783743     0.19        0.0667652285362487         -28.3144336626614
 29        0          0.57849334226834      100          1.13009687205208    0.195        0.0803437257617582         -29.9402262636701
 30        0         -1.69775373392391      100        -0.567656861871829      0.2        0.0920412196922293         -31.7371697609958
 31        0        -0.322410921524467      100        -0.890067783396297    0.205         0.117749755826168         -33.7455174596657
 32        0          1.44688791157259      100         0.556820128176297     0.21         0.143696439264713         -36.0198234881643
 33        0         0.135096043796228      100         0.691916171972527    0.215         0.176569939573644         -38.6358263419402
 34        0         -1.22169727855125      100         -0.52978110657872     0.22         0.218725028688381         -41.7015056275893
 35        0      0.000775709506305594      100        -0.529005397072415    0.225         0.274086410007617         -45.3752868221095
 36        0          1.02138037886169      100         0.492374981789272     0.23         0.347450907700283         -49.8965515677971
 37        0       -0.0963596550150719      100           0.3960153267742    0.235         0.446632451806665         -55.6366020567542
 38        0        -0.844559109045993      100        -0.448543782271794     0.24         0.580861899551826         -63.1783222111221
 39        0         0.159598330073596      100        -0.288945452198197    0.245         0.766160861302414         -73.4071980501317
 40        0         0.690754313717018      100         0.401808861518822     0.25         0.999011029818671         -87.4516150740153
 41        0        -0.197889335850552      100          0.20391952566827    0.255          1.24229728763098         -105.899467982178
 42        0        -0.558759621682242      100        -0.354840096013973     0.26          1.39327558305473         -126.948699383228
 43        0         0.217580536881152      100         -0.13725955913282    0.265          1.39895942958666          -146.48495051824
 44        0         0.446638944958628      100         0.309379385825808     0.27          1.31859396857216         -161.913380012517
 45        0        -0.223597095986024      100        0.0857822898397835    0.275          1.22217460372774         -173.401120369682
 46        0         -0.35234937237058      100        -0.266567082530796     0.28          1.13989750390125          177.934433602999
 47        0         0.219802425543742      100       -0.0467646569870543    0.285           1.0831541676676          171.119642436859
 48        0         0.273901385568065      100          0.22713672858101     0.29          1.04206064232801           165.49446528665
 49        0        -0.209288043069472      100        0.0178486855115382    0.295          1.01630815295939          160.633370617068
 50        0        -0.209332973115363      100        -0.191484287603825      0.3         0.998071004197676          156.258610212274
 51        0         0.194467563869069      100       0.00298327626524352    0.305          1.00004452424918          152.182427984982
 52        0         0.156760320297204      100         0.159743596562448     0.31          1.00575373056911          148.272224183106
