# Parameter type     : 'chebyshev'
# Order              : 4
# Filter type        : 'lowpass'
# Sampling frequency : 100 Hz
# Cutoff 1           : 25 Hz
# Ripple             : -3 dB
# Feedforward parameters : 5 (multiplied with inputs x)
# Feedback parameters : 5 (multiplied with outputs y)
# y[n] = 
#     + (x[n-  0] * 0.0531101207092932)
#     + (x[n-  1] * 0.212440482837173)
#     + (x[n-  2] * 0.318660724255759)
#     + (x[n-  3] * 0.212440482837173)
#     + (x[n-  4] * 0.0531101207092932)
#
#     - (y[n-  1] * -1.09399195818562)
#     - (y[n-  2] * 1.41748060638455)
#     - (y[n-  3] * -0.881761572651391)
#     - (y[n-  4] * 0.408034855801154)
#cycle    input(impulse)    output(impulse)    input(step)    output(step)    frequency/sampling_frequency    gain    phase(degree)
-10        0                         0        0                         0        0                         1                         0
 -9        0                         0        0                         0    0.005          1.00099207007266         -2.06020416966745
 -8        0                         0        0                         0     0.01            1.004286847064         -4.13190134157838
 -7        0                         0        0                         0    0.015          1.00962741587642         -6.22674249676963
 -6        0                         0        0                         0     0.02          1.01662054438959         -8.35669522962055
 -5        0                         0        0                         0    0.025          1.02464653447692         -10.5342032548149
 -4        0                         0        0                         0     0.03          1.03993102598865         -12.7723460497964
 -3        0                         0        0                         0    0.035          1.05375402460837         -15.0849962700702
 -2        0                         0        0                         0     0.04          1.07005417298381         -17.4869700245429
 -1        0                         0        0                         0    0.045          1.08896711819393         -19.9941612632445
  0      100          5.31101207092932      100          5.31101207092932     0.05          1.11850117915117         -22.6236459376079
  1        0          27.0542527791407      100            32.36526485007    0.055          1.14528611754844         -25.3937336847624
  2        0          53.9349507898603      100          86.3002156399303     0.06          1.15579693215877         -28.3239340130226
  3        0          46.5826184343375      100          132.882834074268    0.065          1.17335256856163         -31.4347900267481
  4        0          1.50859771131543      100          134.391431785583     0.07          1.21066952325843         -34.7475160698226
  5        0         -27.8608755631705      100          106.530556222413    0.075          1.24162001365387          -38.283358366549
  6        0         -13.5505587920464      100          92.9799974303663     0.08          1.28425148225572         -42.0625848941598
  7        0          6.99093993499987      100          99.9709373653661    0.085          1.29041704902793           -46.10301218491
  8        0          1.67347646082349      100           101.64441382619     0.09          1.32125104542956         -50.4180084084884
  9        0         -8.65890567577553      100          92.9855081504141    0.095          1.35416658127155         -55.0139945629041
 10        0         -0.15145111030999      100          92.8340570401041      0.1          1.37942784228427         -59.8876168656321
 11        0          10.7312046387861      100           103.56526167889    0.105          1.39516439678166         -65.0229816038864
 12        0          3.63660357566541      100          107.201865254556     0.11          1.41278137209455         -70.3895819721009
 13        0         -7.83326783213204      100          99.3685974224236    0.115          1.41462255720926         -75.9416959482672
 14        0         -4.20018584558478      100          95.1684115768388     0.12          1.40709059588766         -81.6199468329505
 15        0          5.33644744933692      100          100.504859026176    0.125          1.40701384791378         -87.3552933244392
 16        0          3.40077699591917      100          103.905636022095     0.13           1.3803941847899         -93.0750209769591
 17        0         -4.35120424760228      100          99.5544317744926    0.135          1.37347855771404         -98.7096189693088
 18        0         -3.16142137251408      100          96.3930104019786     0.14          1.33281880557029         -104.199100987762
 19        0          3.53039598410549      100          99.9234063860841    0.145          1.30267366637368         -109.497553706901
 20        0          3.11911804853558      100           103.04252443462     0.15           1.2970044893071         -114.575343337505
 21        0         -2.60415466210784      100          100.438369772512    0.155          1.27654844678196         -119.419138943443
 22        0         -2.86727597215329      100          97.5710938003585     0.16          1.25044571084069         -124.030412173949
 23        0          1.86435569359583      100          99.4354494939543    0.165          1.18353322050206         -128.423237731016
 24        0          2.53494582622245      100          101.970395320177     0.17          1.11165532347801          -132.62212593248
 25        0          -1.3351455891455      100          100.635249731031    0.175          1.13328653718408         -136.660420602241
 26        0         -2.24000933823163      100          98.3952403927996     0.18          1.14609840287999         -140.579621094583
 27        0         0.916486488745062      100          99.3117268815447    0.185           1.1081166355394         -144.429910047641
 28        0          1.96617231446659      100          101.277899196011     0.19          1.08437057369048         -148.272224183106
 29        0         -0.57849334226834      100          100.699405853743    0.195          1.07917225111343         -152.182427984982
 30        0         -1.69775373392391      100           99.001652119819      0.2          1.03946303439838         -156.258610212274
 31        0         0.322410921524467      100          99.3240630413435    0.205          1.09400635014301         -160.633370617068
 32        0          1.44688791157259      100          100.770950952916     0.21          1.13632391921845          -165.49446528665
 33        0        -0.135096043796228      100           100.63585490912    0.215          1.17313340054104         -171.119642436859
 34        0         -1.22169727855125      100          99.4141576305686     0.22          1.20468994979741         -177.934433602999
 35        0     -0.000775709506305594      100          99.4133819210623    0.225          1.27047364935266          173.401120369682
 36        0          1.02138037886169      100          100.434762299924     0.23          1.33876065524016          161.913380012517
 37        0        0.0963596550150719      100          100.531121954939    0.235          1.39982128687892           146.48495051824
 38        0        -0.844559109045993      100          99.6865628458931     0.24          1.38922824246901          126.948699383228
 39        0        -0.159598330073596      100          99.5269645158195    0.245          1.24229771683081          105.899467982179
 40        0         0.690754313717018      100          100.217718829536     0.25          1.02577361867536          87.4516150740153
 41        0         0.197889335850552      100          100.415608165387    0.255          0.76616086134171          73.4071980501318
 42        0        -0.558759621682242      100          99.8568485437048     0.26         0.622476733901446          63.1783222111221
 43        0        -0.217580536881152      100          99.6392680068236    0.265         0.548713946905693          55.6366020567542
 44        0         0.446638944958628      100          100.085906951782     0.27         0.486672680602946           49.896551567797
 45        0         0.223597095986024      100          100.309504047768    0.275         0.440106753561307          45.3752868221095
 46        0         -0.35234937237058      100          99.9571546753977     0.28         0.397017682125025          41.7015056275894
 47        0        -0.219802425543742      100           99.737352249854    0.285         0.373210851335202          38.6358263419402
 48        0         0.273901385568065      100          100.011253635422     0.29         0.355743082251754          36.0198234881643
 49        0         0.209288043069472      100          100.220541678492    0.295         0.338269299436196          33.7455174596657
 50        0        -0.209332973115363      100          100.011208705376      0.3         0.320946103713513          31.7371697609958
 51        0        -0.194467563869069      100          99.8167411415071    0.305         0.303910862506273          29.9402262636701
 52        0         0.156760320297204      100          99.9735014618042     0.31         0.287281341514743          28.3144336626614
 53        0         0.177169942066245      100          100.150671403871    0.315         0.271155737308901           26.829439814979
 54        0        -0.114441097466554      100          100.036230306404     0.32         0.255613078476599          25.4619085660887
