# Parameter type          : 'exponential'
# Filter type        : 'lowpass'
# Sampling frequency : 100 Hz
# Cutoff 1           : 45 Hz
# Feedforward parameters : 1 (multiplied with inputs x)
# Feedback parameters : 2 (multiplied with outputs y)
# Gain: 1
# Recurrence relation:
# y[n] = 
#     + (x[n-  0] * 0.45)
#
#     - (y[n-  1] * -0.55)
#cycle    input(impulse)    output(impulse)    input(step)    output(step)    frequency/sampling_frequency    gain    phase(degree)
-10        0                         0        0                         0        0                         1                         0
 -9        0                         0        0                         0    0.005         0.998638480451189         -3.99723459511117
 -8        0                         0        0                         0     0.01         0.994591506946349         -7.97798588900983
 -7        0                         0        0                         0    0.015         0.988091426242531         -11.9263067266085
 -6        0                         0        0                         0     0.02         0.978543489312868         -15.8272794048378
 -5        0                         0        0                         0    0.025         0.967739915225395         -19.6674295494236
 -4        0                         0        0                         0     0.03         0.954653055722172         -23.4350350486607
 -3        0                         0        0                         0    0.035          0.94037660608639         -27.1203180373122
 -2        0                         0        0                         0     0.04         0.921900704154231          -30.715521234029
 -1        0                         0        0                         0    0.045         0.906961411495248         -34.2148808822726
  0      100                        45      100                        45     0.05         0.888451479756982         -37.6145158582022
  1        0                     24.75      100                     69.75    0.055         0.869980655730943         -40.9122559043301
  2        0                   13.6125      100                   83.3625     0.06         0.849866947802634         -44.1074319260451
  3        0                  7.486875      100                 90.849375    0.065         0.831362413251101         -47.2006487980616
  4        0                4.11778125      100               94.96715625     0.07         0.811906440418755         -50.1935572303931
  5        0              2.2647796875      100             97.2319359375    0.075         0.792437261021619         -53.0886368695003
  6        0            1.245628828125      100           98.477564765625     0.08         0.771509870907995         -55.8889986383114
  7        0         0.685095855468751      100          99.1626606210937    0.085         0.754463031581347         -58.5982107533849
  8        0         0.376802720507813      100          99.5394633416016     0.09         0.736085247036024         -61.2201500705533
  9        0         0.207241496279297      100          99.7467048378809    0.095         0.718021886038986         -63.7588784087062
 10        0         0.113982822953613      100          99.8606876608345      0.1         0.684710087814857         -66.2185421939087
 11        0        0.0626905526244874      100           99.923378213459    0.105         0.683597804138277         -68.6032930179127
 12        0        0.0344798039434681      100          99.9578580174024     0.11         0.667052593381411         -70.9172263742971
 13        0        0.0189638921689074      100          99.9768219095713    0.115         0.651260390591117         -73.1643357938385
 14        0        0.0104301406928991      100          99.9872520502642     0.12         0.633654046771817         -75.3484797434902
 15        0        0.0057365773810945      100          99.9929886276453    0.125         0.606458242564509         -77.4733589009094
 16        0       0.00315511755960197      100          99.9961437452049     0.13         0.607046030624593         -79.5425017121026
 17        0       0.00173531465778109      100          99.9978790598627    0.135         0.593384772551526         -81.5592564455844
 18        0      0.000954423061779597      100          99.9988334829245     0.14         0.580256258132895         -83.5267882489862
 19        0      0.000524932683978779      100          99.9993584156085    0.145         0.567649987006998         -85.4480799802513
 20        0      0.000288712976188328      100          99.9996471285847     0.15         0.555019886069729         -87.3259358194665
 21        0      0.000158792136903581      100          99.9998059207216    0.155         0.543966313957229         -89.1629868676575
 22        0     8.73356752969693e-005      100          99.9998932563969     0.16         0.531277919080926         -90.9616981069303
 23        0     4.80346214133331e-005      100          99.9999412910183    0.165         0.522152841225396         -92.7243762350842
 24        0     2.64190417773332e-005      100            99.99996771006     0.17          0.51191183892497         -94.4531780008316
 25        0     1.45304729775333e-005      100           99.999982240533    0.175         0.501519034427557          -96.150118756738
 26        0      7.9917601376433e-006      100          99.9999902322932     0.18         0.492682490327134         -97.8170810194782
 27        0     4.39546807570382e-006      100          99.9999946277613    0.185         0.483649545548211         -99.4558228842065
 28        0      2.4175074416371e-006      100          99.9999970452687     0.19         0.474979968663849          -101.06798618455
 29        0     1.32962909290041e-006      100          99.9999983748978    0.195         0.466656075194862         -102.655104324364
 30        0     7.31296001095223e-007      100          99.9999991061938      0.2         0.435264865638283         -104.218609733928
 31        0     4.02212800602373e-007      100          99.9999995084066    0.205         0.450977755267713         -105.759840923415
 32        0     2.21217040331305e-007      100          99.9999997296236     0.21         0.443591243352056         -107.280049121492
 33        0     1.21669372182218e-007      100           99.999999851293    0.215         0.436514912925835         -108.780404498049
 34        0     6.69181547002198e-008      100          99.9999999182112     0.22         0.429648621152657          -110.26200197804
 35        0     3.68049850851209e-008      100          99.9999999550161    0.225         0.422350772219111         -111.725866659062
 36        0     2.02427417968165e-008      100          99.9999999752589     0.23         0.416825427514711         -113.172958849089
 37        0     1.11335079882491e-008      100          99.9999999863924    0.235         0.410944248705803         -114.604178743203
 38        0     6.12342939353699e-009      100          99.9999999925158     0.24         0.404345708583976         -116.020370759531
 39        0     3.36788616644534e-009      100          99.9999999958837    0.245         0.399622530862694         -117.422327555175
 40        0     1.85233739154494e-009      100           99.999999997736     0.25          0.34548944337824         -118.810793742973
 41        0     1.01878556534972e-009      100          99.9999999987548    0.255          0.38915900102232         -120.186469329538
 42        0     5.60332060942344e-010      100          99.9999999993152     0.26          0.38379840067564          -121.55001289434
 43        0     3.08182633518289e-010      100          99.9999999996233    0.265         0.379489902162918         -122.902044528773
 44        0     1.69500448435059e-010      100          99.9999999997928     0.27         0.374776027233451         -124.243148553158
 45        0     9.32252466392825e-011      100          99.9999999998861    0.275         0.370566913792436         -125.573876028601
 46        0     5.12738856516054e-011      100          99.9999999999373     0.28         0.365241877809362         -126.894747079546
 47        0      2.8200637108383e-011      100          99.9999999999655    0.285         0.362322232959015         -128.206253041839
 48        0     1.55103504096106e-011      100           99.999999999981     0.29         0.358447656822217          -129.50885845003
 49        0     8.53069272528585e-012      100          99.9999999999896    0.295         0.354697608059861         -130.803002876678
 50        0     4.69188099890722e-012      100          99.9999999999943      0.3         0.349151093102248         -132.089102635449
 51        0     2.58053454939897e-012      100          99.9999999999968    0.305         0.347687253339596         -133.367552358888
 52        0     1.41929400216943e-012      100          99.9999999999983     0.31         0.344273214548904         -134.638726460911
 53        0     7.80611701193188e-013      100           99.999999999999    0.315         0.341164797757003         -135.902980493252
 54        0     4.29336435656254e-013      100          99.9999999999995     0.32         0.337484871242532         -137.160652404365
 55        0     2.36135039610939e-013      100          99.9999999999997    0.325         0.334640023176231         -138.412063708607
 56        0     1.29874271786017e-013      100          99.9999999999999     0.33         0.332401109368164         -139.657520572875
 57        0     7.14308494823092e-014      100          99.9999999999999    0.335         0.329726885815138         -140.897314827293
 58        0     3.92869672152701e-014      100                       100     0.34         0.327012189677757         -142.131724906015
 59        0     2.16078319683985e-014      100                       100    0.345         0.324672397877009         -143.361016723702
 60        0     1.18843075826192e-014      100                       100     0.35         0.322312253547882         -144.585444492789
 61        0     6.53636917044056e-015      100                       100    0.355         0.320068089104838         -145.805251486232
 62        0     3.59500304374231e-015      100                       100     0.36         0.316838644261611         -147.020670750054
 63        0     1.97725167405827e-015      100                       100    0.365         0.315823303284846         -148.231925769649
 64        0     1.08748842073205e-015      100                       100     0.37         0.313724527247418         -149.439231093508
 65        0     5.98118631402627e-016      100                       100    0.375         0.300439207270448         -150.642792917699
 66        0     3.28965247271445e-016      100                       100     0.38         0.309794154516646         -151.842809634218
 67        0     1.80930885999295e-016      100                       100    0.385         0.308507095134727         -153.039472346041
 68        0      9.9511987299612e-017      100                       100     0.39         0.306877815719842         -154.232965351515
 69        0     5.47315930147866e-017      100                       100    0.395         0.305344311764443         -155.423466600507
 70        0     3.01023761581326e-017      100                       100      0.4         0.282066150476582         -156.611148124561
 71        0      1.6556306886973e-017      100                       100    0.405         0.302529341578675         -157.796176443123
 72        0     9.10596878783513e-018      100                       100     0.41         0.301241776744377         -158.978712947772
 73        0     5.00828283330932e-018      100                       100    0.415         0.300045517936591         -160.158914266222
 74        0     2.75455555832013e-018      100                       100     0.42         0.298890128683682         -161.336932607761
 75        0     1.51500555707607e-018      100                       100    0.425         0.297837599048321         -162.512916091669
 76        0     8.33253056391838e-019      100                       100     0.43         0.296733922852588         -163.687009060032
 77        0     4.58289181015511e-019      100                       100    0.435         0.295923521551055         -164.859352376324
 78        0     2.52059049558531e-019      100                       100     0.44         0.294514877460455         -166.030083710976
 79        0     1.38632477257192e-019      100                       100    0.445         0.294331629443448         -167.199337815139
 80        0     7.62478624914557e-020      100                       100     0.45         0.291819954842348         -168.367246783734
 81        0     4.19363243703006e-020      100                       100    0.455         0.292993142229863         -169.533940308833
 82        0     2.30649784036653e-020      100                       100     0.46         0.292333289906699         -170.699545924365
 83        0     1.26857381220159e-020      100                       100    0.465         0.291903379196539          -171.86418924308
 84        0     6.97715596710877e-021      100                       100     0.47         0.291504724862232         -173.027994186671
 85        0     3.83743578190982e-021      100                       100    0.475         0.290692889627786         -174.191083209899
 86        0      2.1105896800504e-021      100                       100     0.48         0.289985919192393         -175.353577519548
 87        0     1.16082432402772e-021      100                       100    0.485         0.290617404708727         -176.515597289005
 88        0     6.38453378215247e-022      100                       100     0.49         0.290381651333765         -177.677261869222
 89        0     3.51149358018386e-022      100                       100    0.495         0.290337341951139         -178.838689996809
 90        0     1.93132146910112e-022      100                       100      0.5     1.08186390533892e-012                      -180
