# Parameter type          : 'moving-average'
# Order                   : 15
# Filter type        : 'highpass'
# Feedforward parameters : 16 (multiplied with inputs x)
# Feedback parameters : 1 (multiplied with outputs y)
# Gain: 1
# Recurrence relation:
# y[n] = 
#     + (x[n-  0] * 0.9375)
#     + (x[n-  1] * -0.0625)
#     + (x[n-  2] * -0.0625)
#     + (x[n-  3] * -0.0625)
#     + (x[n-  4] * -0.0625)
#     + (x[n-  5] * -0.0625)
#     + (x[n-  6] * -0.0625)
#     + (x[n-  7] * -0.0625)
#     + (x[n-  8] * -0.0625)
#     + (x[n-  9] * -0.0625)
#     + (x[n- 10] * -0.0625)
#     + (x[n- 11] * -0.0625)
#     + (x[n- 12] * -0.0625)
#     + (x[n- 13] * -0.0625)
#     + (x[n- 14] * -0.0625)
#     + (x[n- 15] * -0.0625)
#
#cycle    input(impulse)    output(impulse)    input(step)    output(step)    frequency/sampling_frequency    gain    phase(degree)
-10        0                         0        0                         0        0                         0                         0
 -9        0                         0        0                         0    0.005         0.234073374012834          107.708113853475
 -8        0                         0        0                         0     0.01         0.458971342226431          125.465468007301
 -7        0                         0        0                         0    0.015         0.666016063399964          143.324155953579
 -6        0                         0        0                         0     0.02         0.847489742478035           161.34230185975
 -5        0                         0        0                         0    0.025         0.997029804652483          179.587933126712
 -4        0                         0        0                         0     0.03          1.10993000435204         -161.855988741514
 -3        0                         0        0                         0    0.035          1.18346796642555         -142.884790575782
 -2        0                         0        0                         0     0.04          1.21498674462054         -123.362884629361
 -1        0                         0        0                         0    0.045          1.21402362623459         -103.111651801875
  0      100                     93.75      100                     93.75     0.05          1.16605473483365         -81.8951564828246
  1        0                     -6.25      100                      87.5    0.055           1.1162934393595         -59.4088035448011
  2        0                     -6.25      100                     81.25     0.06          1.03851757853939         -35.2881798237668
  3        0                     -6.25      100                        75    0.065         0.961490784958617         -9.18060296880851
  4        0                     -6.25      100                     68.75     0.07         0.895827528781844          19.0551509864905
  5        0                     -6.25      100                      62.5    0.075         0.854611922053435          49.0307837463484
  6        0                     -6.25      100                     56.25     0.08         0.849275800095944          79.6864277417418
  7        0                     -6.25      100                        50    0.085         0.876103518003088          109.720121528852
  8        0                     -6.25      100                     43.75     0.09         0.920894297558257          138.288817812229
  9        0                     -6.25      100                      37.5    0.095         0.972584667417276          165.244597646986
 10        0                     -6.25      100                     31.25      0.1          1.01049754856372         -169.111846889126
 11        0                     -6.25      100                        25    0.105          1.05003260845881         -144.323139538314
 12        0                     -6.25      100                     18.75     0.11           1.0631084782514         -119.924584847913
 13        0                     -6.25      100                      12.5    0.115          1.05730579603965          -95.487748594369
 14        0                     -6.25      100                      6.25     0.12          1.03211799803054         -70.6252803285237
 15        0                     -6.25      100                         0    0.125          1.00000000000004         -45.0000000000001
 16        0                         0      100                         0     0.13          0.96134498826381         -18.3648848386275
 17        0                         0      100                         0    0.135         0.927057741385827          9.35479186600116
 18        0                         0      100                         0     0.14         0.904598657949201           37.966330752813
 19        0                         0      100                         0    0.145         0.899890056787957          66.9935422013464
 20        0                         0      100                         0     0.15         0.907418421703088            95.82558350194
 21        0                         0      100                         0    0.155         0.937258407098157          123.965256743931
 22        0                         0      100                         0     0.16         0.966324909856056           151.19088200391
 23        0                         0      100                         0    0.165         0.997491435246107          177.549816272109
 24        0                         0      100                         0     0.17          1.01866383318032         -156.739262873164
 25        0                         0      100                         0    0.175          1.02690625547037         -131.380550341496
 26        0                         0      100                         0     0.18          1.02539697933027          -106.05938451612
 27        0                         0      100                         0    0.185          1.01084929161502         -80.4748004556276
 28        0                         0      100                         0     0.19         0.987582722021025         -54.3670586745543
 29        0                         0      100                         0    0.195         0.961092394295809         -27.5568420988773
 30        0                         0      100                         0      0.2         0.891615484026994    -3.05333249420498e-014
 31        0                         0      100                         0    0.205         0.922143632599698          28.1633681175979
 32        0                         0      100                         0     0.21         0.918607807302262          56.6132226180135
 33        0                         0      100                         0    0.215         0.927513474538361           84.942318706632
 34        0                         0      100                         0     0.22         0.945592097809894          112.801569057863
 35        0                         0      100                         0    0.225         0.966322145960361          140.007904711816
 36        0                         0      100                         0     0.23         0.990517196889517          166.563134157879
 37        0                         0      100                         0    0.235          1.00698398485084         -167.391667541899
 38        0                         0      100                         0     0.24           1.0115919299711         -141.636687820823
 39        0                         0      100                         0    0.245          1.01176891055969         -115.921595708456
 40        0                         0      100                         0     0.25          1.00000000000014         -90.0000000000001
 41        0                         0      100                         0    0.255         0.981545465355025         -63.6601086276068
 42        0                         0      100                         0     0.26         0.959622877655518         -36.7611672590686
 43        0                         0      100                         0    0.265         0.942333002198001         -9.27594743824584
 44        0                         0      100                         0     0.27           0.9305158861286          18.6776050436323
 45        0                         0      100                         0    0.275         0.927780217951468          46.8467477599427
 46        0                         0      100                         0     0.28         0.932662235052728          74.9149174878929
 47        0                         0      100                         0    0.285         0.950794367375432          102.607055296134
 48        0                         0      100                         0     0.29         0.969602704847145          129.770983630026
 49        0                         0      100                         0    0.295         0.987673143488902          156.398868276995
 50        0                         0      100                         0      0.3         0.965088640563926         -177.400047245005
 51        0                         0      100                         0    0.305          1.00692712673772          -151.44386387542
