# Parameter type          : 'moving-average'
# Order                   : 15
# Filter type        : 'lowpass'
# Feedforward parameters : 16 (multiplied with inputs x)
# Feedback parameters : 1 (multiplied with outputs y)
# Gain: 1
# Recurrence relation:
# y[n] = 
#     + (x[n-  0] * 0.0625)
#     + (x[n-  1] * 0.0625)
#     + (x[n-  2] * 0.0625)
#     + (x[n-  3] * 0.0625)
#     + (x[n-  4] * 0.0625)
#     + (x[n-  5] * 0.0625)
#     + (x[n-  6] * 0.0625)
#     + (x[n-  7] * 0.0625)
#     + (x[n-  8] * 0.0625)
#     + (x[n-  9] * 0.0625)
#     + (x[n- 10] * 0.0625)
#     + (x[n- 11] * 0.0625)
#     + (x[n- 12] * 0.0625)
#     + (x[n- 13] * 0.0625)
#     + (x[n- 14] * 0.0625)
#     + (x[n- 15] * 0.0625)
#
#cycle    input(impulse)    output(impulse)    input(step)    output(step)    frequency/sampling_frequency    gain    phase(degree)
-10        0                         0        0                         0        0                         1                         0
 -9        0                         0        0                         0    0.005         0.989424236067307                      13.5
 -8        0                         0        0                         0     0.01         0.958103154533931                        27
 -7        0                         0        0                         0    0.015         0.908132862829626                      40.5
 -6        0                         0        0                         0     0.02         0.840421384302143                        54
 -5        0                         0        0                         0    0.025         0.755269925732481                      67.5
 -4        0                         0        0                         0     0.03         0.662490796049701                        81
 -3        0                         0        0                         0    0.035         0.559400051487496                      94.5
 -2        0                         0        0                         0     0.04         0.450320296782442                       108
 -1        0                         0        0                         0    0.045         0.341736803803508                     121.5
  0      100                      6.25      100                      6.25     0.05         0.231945626685378                       135
  1        0                      6.25      100                      12.5    0.055         0.133804842182781                     148.5
  2        0                      6.25      100                     18.75     0.06        0.0418042061189088                       162
  3        0                      6.25      100                        25    0.065        0.0386235277011709         -4.50000000000025
  4        0                      6.25      100                     31.25     0.07         0.105418950606969          9.00000000000008
  5        0                      6.25      100                      37.5    0.075         0.156881811884297                      22.5
  6        0                      6.25      100                     43.75     0.08         0.193260977473057                        36
  7        0                      6.25      100                        50    0.085         0.214287567998335                      49.5
  8        0                      6.25      100                     56.25     0.09         0.219944858907327                        63
  9        0                      6.25      100                      62.5    0.095          0.21211027848807                      76.5
 10        0                      6.25      100                     68.75      0.1         0.192355221073505                        90
 11        0                      6.25      100                        75    0.105         0.162893324701029                     103.5
 12        0                      6.25      100                     81.25     0.11         0.126242384296639                       117
 13        0                      6.25      100                      87.5    0.115        0.0851712381064571                     130.5
 14        0                      6.25      100                     93.75     0.12         0.042139126667615                       144
 15        0                      6.25      100                       100    0.125      5.5801429218994e-014          113.962488974578
 16        0                         0      100                       100     0.13        0.0391175396463614         -8.99999999999994
 17        0                         0      100                       100    0.135        0.0731587840245757          4.50000000000004
 18        0                         0      100                       100     0.14         0.100484441042991          18.0000000000001
 19        0                         0      100                       100    0.145         0.119934729149504          31.4999999999999
 20        0                         0      100                       100     0.15          0.12931815656541                        45
 21        0                         0      100                       100    0.155         0.133287030172135                      58.5
 22        0                         0      100                       100     0.16          0.12718493183399                        72
 23        0                         0      100                       100    0.165         0.114125996253736                      85.5
 24        0                         0      100                       100     0.17        0.0945567758800959          99.0000000000001
 25        0                         0      100                       100    0.175        0.0700926933219153                     112.5
 26        0                         0      100                       100     0.18        0.0429388465795581                       126
 27        0                         0      100                       100    0.185        0.0142660021824706                     139.5
 28        0                         0      100                       100     0.19        0.0139293601843792         -27.0000000000002
 29        0                         0      100                       100    0.195         0.040008236529704         -13.5000000000001
 30        0                         0      100                       100      0.2        0.0594410322685379    -1.43706435608012e-014
 31        0                         0      100                       100    0.205         0.080195727297913          13.4999999999999
 32        0                         0      100                       100     0.21        0.0922224431857173          26.9999999999999
 33        0                         0      100                       100    0.215        0.0981784890271577          40.4999999999999
 34        0                         0      100                       100     0.22        0.0978574254028634          53.9999999999999
 35        0                         0      100                       100    0.225         0.091243318931827                      67.5
 36        0                         0      100                       100     0.23        0.0797573112715042                        81
 37        0                         0      100                       100    0.235        0.0635633291833542          94.4999999999999
 38        0                         0      100                       100     0.24        0.0438979143207323                       108
 39        0                         0      100                       100    0.245         0.022332109005793                     121.5
 40        0                         0      100                       100     0.25     1.44811750007264e-013                        90
 41        0                         0      100                       100    0.255         0.021641319194664         -31.5000000000001
 42        0                         0      100                       100     0.26        0.0413043902011015                       -18
 43        0                         0      100                       100    0.265        0.0578381793725262         -4.49999999999996
 44        0                         0      100                       100     0.27        0.0703155284940639          9.00000000000006
 45        0                         0      100                       100    0.275         0.077929156377423          22.5000000000001
 46        0                         0      100                       100     0.28        0.0807949571274387          36.0000000000001
 47        0                         0      100                       100    0.285        0.0786558015899754          49.4999999999999
 48        0                         0      100                       100     0.29        0.0715350596383945          62.9999999999999
 49        0                         0      100                       100    0.295        0.0602126552553145                      76.5
 50        0                         0      100                       100      0.3        0.0454089080006922                        90
 51        0                         0      100                       100    0.305        0.0281182595797088                     103.5
 52        0                         0      100                       100     0.31       0.00946638340616458                       117
 53        0                         0      100                       100    0.315       0.00937101188879332         -49.5000000000001
 54        0                         0      100                       100     0.32        0.0271960493574642         -35.9999999999999
